Epochs,Dense Units,Dropout Rate,Test Accuracy
10,64,0.3,0.7300000190734863
10,64,0.5,0.7133333086967468
10,64,0.7,0.6433333158493042
10,128,0.3,0.6499999761581421
10,128,0.5,0.7266666889190674
10,128,0.7,0.6399999856948853
10,256,0.3,0.6666666865348816
10,256,0.5,0.7266666889190674
10,256,0.7,0.6733333468437195
20,64,0.3,0.7366666793823242
20,64,0.5,0.7400000095367432
20,64,0.7,0.7566666603088379
20,128,0.3,0.7300000190734863
20,128,0.5,0.7300000190734863
20,128,0.7,0.7433333396911621
20,256,0.3,0.7233333587646484
20,256,0.5,0.7066666483879089
20,256,0.7,0.6833333373069763
30,64,0.3,0.6833333373069763
30,64,0.5,0.7099999785423279
30,64,0.7,0.7366666793823242
30,128,0.3,0.70333331823349
30,128,0.5,0.7366666793823242
30,128,0.7,0.7099999785423279
30,256,0.3,0.7400000095367432
30,256,0.5,0.7233333587646484
30,256,0.7,0.7166666388511658
